name,code,Series Name,Series Code,val
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,6971285594.68013
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,8896072918.9814
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,117027307540.89
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,493000000
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,3456442102.622
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,52381006892.038
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1157662962.96296
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,232557260817.308
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,6384451606.1421
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2469832402.23464
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,747556154537.287
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,336280064332.411
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,20982986344.3027
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,10167250000
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,18504760638.2979
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,71819083683.7403
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,4217450802.54938
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,36954312354.3124
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,408259840868.823
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,1211148304.51368
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,7034111651.4964
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,6144000000
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,874989895.601121
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,11451869202.1569
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,12864610865.2428
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,10137883299.3156
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,1107626711406.63
British Virgin Islands,VGB,GDP (current US$),NY.GDP.MKTP.CD,..
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,11470703002.0769
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,34379808888.6039
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,6547420133.69942
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,1273375020.26862
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,1107891063.43863
Cambodia,KHM,GDP (current US$),NY.GDP.MKTP.CD,7274595706.67154
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,20910513974.6215
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1319264809590.97
Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,4200439498.52838
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,1461859762.62791
Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,7428701809.40597
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,9676410337.59329
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,153840051814.059
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,2752131773358.92
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,161618581266.316
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,698431827.740958
"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,14451902467.9315
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,8072305030.68484
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,22715540324.3032
Ivory Coast,CIV,GDP (current US$),NY.GDP.MKTP.CD,25281414472.9891
Croatia,HRV,GDP (current US$),NY.GDP.MKTP.CD,50860788253.2176
Cuba,CUB,GDP (current US$),NY.GDP.MKTP.CD,48835925925.9259
Curacao,CUW,GDP (current US$),NY.GDP.MKTP.CD,..
Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,20072786350.5206
Czechia,CZE,GDP (current US$),NY.GDP.MKTP.CD,156264095664.643
Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,282884947702.966
Djibouti,DJI,GDP (current US$),NY.GDP.MKTP.CD,768873684.032838
Dominica,DMA,GDP (current US$),NY.GDP.MKTP.CD,390251851.851852
Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,37879869897.8979
Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,46802044000
"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,107426086956.522
El Salvador,SLV,GDP (current US$),NY.GDP.MKTP.CD,15999890000
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,10086528698.8604
Eritrea,ERI,GDP (current US$),NY.GDP.MKTP.CD,1211161879.6748
Estonia,EST,GDP (current US$),NY.GDP.MKTP.CD,17022870405.2189
Eswatini,SWZ,GDP (current US$),NY.GDP.MKTP.CD,3291353835.93
Ethiopia,ETH,GDP (current US$),NY.GDP.MKTP.CD,15280861834.6024
Faroe Islands,FRO,GDP (current US$),NY.GDP.MKTP.CD,2014663348.35542
Fiji,FJI,GDP (current US$),NY.GDP.MKTP.CD,3076305452.86506
Finland,FIN,GDP (current US$),NY.GDP.MKTP.CD,217089269791.764
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,2320536221304.7
French Polynesia,PYF,GDP (current US$),NY.GDP.MKTP.CD,..
Gabon,GAB,GDP (current US$),NY.GDP.MKTP.CD,10327598800.6713
"Gambia, The",GMB,GDP (current US$),NY.GDP.MKTP.CD,1054113426.70947
Georgia,GEO,GDP (current US$),NY.GDP.MKTP.CD,7745394293.41721
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,2994703642023.53
Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,20440893017.1566
Gibraltar,GIB,GDP (current US$),NY.GDP.MKTP.CD,..
Greece,GRC,GDP (current US$),NY.GDP.MKTP.CD,273546728473.073
Greenland,GRL,GDP (current US$),NY.GDP.MKTP.CD,2013099482.07439
Grenada,GRD,GDP (current US$),NY.GDP.MKTP.CD,698700666.666667
Guam,GUM,GDP (current US$),NY.GDP.MKTP.CD,4238000000
Guatemala,GTM,GDP (current US$),NY.GDP.MKTP.CD,29744368110.9094
Guinea,GIN,GDP (current US$),NY.GDP.MKTP.CD,4220019242.74824
Guinea-Bissau,GNB,GDP (current US$),NY.GDP.MKTP.CD,592365688.05204
Guyana,GUY,GDP (current US$),NY.GDP.MKTP.CD,2379818382.99241
Haiti,HTI,GDP (current US$),NY.GDP.MKTP.CD,7518107786.51149
Honduras,HND,GDP (current US$),NY.GDP.MKTP.CD,10917481688.4711
"Hong Kong SAR, China",HKG,GDP (current US$),NY.GDP.MKTP.CD,193536265094.364
Hungary,HUN,GDP (current US$),NY.GDP.MKTP.CD,115751266695.185
Iceland,ISL,GDP (current US$),NY.GDP.MKTP.CD,17465318552.2941
India,IND,GDP (current US$),NY.GDP.MKTP.CD,940259888792.141
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,364570514304.85
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,266298911661.144
Iraq,IRQ,GDP (current US$),NY.GDP.MKTP.CD,65140147197.1215
Ireland,IRL,GDP (current US$),NY.GDP.MKTP.CD,232180617162.279
Isle of Man,IMN,GDP (current US$),NY.GDP.MKTP.CD,3422651333.94664
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,154145495309.484
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1949551719389.64
Jamaica,JAM,GDP (current US$),NY.GDP.MKTP.CD,11930171468.3796
Japan,JPN,GDP (current US$),NY.GDP.MKTP.CD,4601663122649.92
Jordan,JOR,GDP (current US$),NY.GDP.MKTP.CD,15056929760.2257
Kazakhstan,KAZ,GDP (current US$),NY.GDP.MKTP.CD,81003884545.4099
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,25825524820.8064
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,110234939.759036
"North Korea",PRK,GDP (current US$),NY.GDP.MKTP.CD,..
"South Korea",KOR,GDP (current US$),NY.GDP.MKTP.CD,1053216909887.56
Kosovo,XKX,GDP (current US$),NY.GDP.MKTP.CD,..
Kuwait,KWT,GDP (current US$),NY.GDP.MKTP.CD,101548931771.192
Kyrgyz Republic,KGZ,GDP (current US$),NY.GDP.MKTP.CD,2834168889.42019
Lao PDR,LAO,GDP (current US$),NY.GDP.MKTP.CD,3455031447.60194
Latvia,LVA,GDP (current US$),NY.GDP.MKTP.CD,21570076498.6205
Lebanon,LBN,GDP (current US$),NY.GDP.MKTP.CD,22022709851.5423
Lesotho,LSO,GDP (current US$),NY.GDP.MKTP.CD,1800105589.60349
Liberia,LBR,GDP (current US$),NY.GDP.MKTP.CD,1119000000
Libya,LBY,GDP (current US$),NY.GDP.MKTP.CD,60092950669.9147
Liechtenstein,LIE,GDP (current US$),NY.GDP.MKTP.CD,4000239272.61126
Lithuania,LTU,GDP (current US$),NY.GDP.MKTP.CD,30183575103.5262
Luxembourg,LUX,GDP (current US$),NY.GDP.MKTP.CD,42910146296.0646
"Macao SAR, China",MAC,GDP (current US$),NY.GDP.MKTP.CD,14874147024.2708
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,6395712392.23682
Malawi,MWI,GDP (current US$),NY.GDP.MKTP.CD,3998020176.67364
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,162691238209.476
Maldives,MDV,GDP (current US$),NY.GDP.MKTP.CD,1575200390.625
Mali,MLI,GDP (current US$),NY.GDP.MKTP.CD,6905934219.29467
Malta,MLT,GDP (current US$),NY.GDP.MKTP.CD,6778324049.68009
Marshall Islands,MHL,GDP (current US$),NY.GDP.MKTP.CD,141515800
Mauritania,MRT,GDP (current US$),NY.GDP.MKTP.CD,3919577285.92703
Mauritius,MUS,GDP (current US$),NY.GDP.MKTP.CD,7028803365.70151
Mexico,MEX,GDP (current US$),NY.GDP.MKTP.CD,975387131716.089
"Micronesia, Fed. Sts.",FSM,GDP (current US$),NY.GDP.MKTP.CD,253541900
Moldova,MDA,GDP (current US$),NY.GDP.MKTP.CD,3408244549.19999
Monaco,MCO,GDP (current US$),NY.GDP.MKTP.CD,4582988332.70606
Mongolia,MNG,GDP (current US$),NY.GDP.MKTP.CD,3414055566.1138
Montenegro,MNE,GDP (current US$),NY.GDP.MKTP.CD,2721903148.91482
Morocco,MAR,GDP (current US$),NY.GDP.MKTP.CD,68640825480.9223
Mozambique,MOZ,GDP (current US$),NY.GDP.MKTP.CD,9176889070.42298
Myanmar,MMR,GDP (current US$),NY.GDP.MKTP.CD,11863016315.2934
Namibia,NAM,GDP (current US$),NY.GDP.MKTP.CD,8001779551.06323
Nauru,NRU,GDP (current US$),NY.GDP.MKTP.CD,..
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,9043715355.8881
Netherlands,NLD,GDP (current US$),NY.GDP.MKTP.CD,733955269898.823
New Caledonia,NCL,GDP (current US$),NY.GDP.MKTP.CD,6979153331.71296
New Zealand,NZL,GDP (current US$),NY.GDP.MKTP.CD,111538810712.665
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,6763361732.88486
Niger,NER,GDP (current US$),NY.GDP.MKTP.CD,4756361479.98873
Nigeria,NGA,GDP (current US$),NY.GDP.MKTP.CD,236103982431.635
North Macedonia,MKD,GDP (current US$),NY.GDP.MKTP.CD,6861222331.96317
Northern Mariana Islands,MNP,GDP (current US$),NY.GDP.MKTP.CD,990000000
Norway,NOR,GDP (current US$),NY.GDP.MKTP.CD,345581369965.54
Oman,OMN,GDP (current US$),NY.GDP.MKTP.CD,37215779713.9142
Pakistan,PAK,GDP (current US$),NY.GDP.MKTP.CD,137264061106.043
Palau,PLW,GDP (current US$),NY.GDP.MKTP.CD,192382400
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,18141666300
Papua New Guinea,PNG,GDP (current US$),NY.GDP.MKTP.CD,8355006706.57899
Paraguay,PRY,GDP (current US$),NY.GDP.MKTP.CD,13429430050.261
Peru,PER,GDP (current US$),NY.GDP.MKTP.CD,88643193061.748
Philippines,PHL,GDP (current US$),NY.GDP.MKTP.CD,127652859201.041
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,344622003093.581
Portugal,PRT,GDP (current US$),NY.GDP.MKTP.CD,208756449275.848
Puerto Rico,PRI,GDP (current US$),NY.GDP.MKTP.CD,87276164400
Qatar,QAT,GDP (current US$),NY.GDP.MKTP.CD,60882142857.1429
Romania,ROU,GDP (current US$),NY.GDP.MKTP.CD,122022997508.01
Russian Federation,RUS,GDP (current US$),NY.GDP.MKTP.CD,989930542278.695
Rwanda,RWA,GDP (current US$),NY.GDP.MKTP.CD,3318107347.2799
Samoa,WSM,GDP (current US$),NY.GDP.MKTP.CD,499923741.369751
San Marino,SMR,GDP (current US$),NY.GDP.MKTP.CD,1908167105.75837
Sao Tome and Principe,STP,GDP (current US$),NY.GDP.MKTP.CD,142775597.255916
Saudi Arabia,SAU,GDP (current US$),NY.GDP.MKTP.CD,376900135727.637
Senegal,SEN,GDP (current US$),NY.GDP.MKTP.CD,11697918802.7922
Serbia,SRB,GDP (current US$),NY.GDP.MKTP.CD,32482070360.3204
Seychelles,SYC,GDP (current US$),NY.GDP.MKTP.CD,1016418229.25159
Sierra Leone,SLE,GDP (current US$),NY.GDP.MKTP.CD,1885112201.85278
Singapore,SGP,GDP (current US$),NY.GDP.MKTP.CD,148630373214.173
Sint Maarten (Dutch part),SXM,GDP (current US$),NY.GDP.MKTP.CD,..
Slovak Republic,SVK,GDP (current US$),NY.GDP.MKTP.CD,70767338922.4411
Slovenia,SVN,GDP (current US$),NY.GDP.MKTP.CD,39481045038.2637
Solomon Islands,SLB,GDP (current US$),NY.GDP.MKTP.CD,538614679.019646
Somalia,SOM,GDP (current US$),NY.GDP.MKTP.CD,..
South Africa,ZAF,GDP (current US$),NY.GDP.MKTP.CD,303860874149.007
South Sudan,SSD,GDP (current US$),NY.GDP.MKTP.CD,..
Spain,ESP,GDP (current US$),NY.GDP.MKTP.CD,1260398977831.76
Sri Lanka,LKA,GDP (current US$),NY.GDP.MKTP.CD,28279814924.5918
St. Kitts and Nevis,KNA,GDP (current US$),NY.GDP.MKTP.CD,644414814.814815
St. Lucia,LCA,GDP (current US$),NY.GDP.MKTP.CD,1268319185.18519
St. Martin (French part),MAF,GDP (current US$),NY.GDP.MKTP.CD,..
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,643501156.905918
Sudan,SDN,GDP (current US$),NY.GDP.MKTP.CD,45264519502.6479
Suriname,SUR,GDP (current US$),NY.GDP.MKTP.CD,2626380435.17877
Sweden,SWE,GDP (current US$),NY.GDP.MKTP.CD,423093437423.762
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,443801905407.561
Syrian Arab Republic,SYR,GDP (current US$),NY.GDP.MKTP.CD,153799910913.14
Tajikistan,TJK,GDP (current US$),NY.GDP.MKTP.CD,2830220713.07301
Tanzania,TZA,GDP (current US$),NY.GDP.MKTP.CD,18649590248.2626
Thailand,THA,GDP (current US$),NY.GDP.MKTP.CD,221758196504.936
Timor-Leste,TLS,GDP (current US$),NY.GDP.MKTP.CD,453805100
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,2351584608.41123
Tonga,TON,GDP (current US$),NY.GDP.MKTP.CD,292232117.078998
Trinidad and Tobago,TTO,GDP (current US$),NY.GDP.MKTP.CD,18369361094.3886
Tunisia,TUN,GDP (current US$),NY.GDP.MKTP.CD,34377310293.0128
Turkey,TUR,GDP (current US$),NY.GDP.MKTP.CD,557057829051.453
Turkmenistan,TKM,GDP (current US$),NY.GDP.MKTP.CD,10276674364.8961
Turks and Caicos Islands,TCA,GDP (current US$),NY.GDP.MKTP.CD,721891470
Tuvalu,TUV,GDP (current US$),NY.GDP.MKTP.CD,24096385.5421687
Uganda,UGA,GDP (current US$),NY.GDP.MKTP.CD,9977647644.69953
Ukraine,UKR,GDP (current US$),NY.GDP.MKTP.CD,111884752475.248
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,222116541865.214
United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,2717059797608.1
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,13815586948000
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,19579457966.0538
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,17330833852.919
Vanuatu,VUT,GDP (current US$),NY.GDP.MKTP.CD,439376794.094041
"Venezuela, RB",VEN,GDP (current US$),NY.GDP.MKTP.CD,183477522123.894
Vietnam,VNM,GDP (current US$),NY.GDP.MKTP.CD,66371664817.0436
Virgin Islands (U.S.),VIR,GDP (current US$),NY.GDP.MKTP.CD,4484000000
West Bank and Gaza,PSE,GDP (current US$),NY.GDP.MKTP.CD,5348300000
"Yemen, Rep.",YEM,GDP (current US$),NY.GDP.MKTP.CD,19061978586.1278
Zambia,ZMB,GDP (current US$),NY.GDP.MKTP.CD,12756858899.2812
Zimbabwe,ZWE,GDP (current US$),NY.GDP.MKTP.CD,5443896500
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 09/16/2022,,,,
